LoadId,OMarket,Equipment,Dt,Cust,HazMat,LeadDays,PickDOW,DMarket,DZip,Distance,DLon,DLat,COGS
58446318,IL_CHI,V,2024-06-03,437ecab5196c499ca32a22aeb3d8afb7,0,1,Weekday,WI_MIL,53154,86,-87.91,42.89,350
58467357,IL_CHI,V,2024-06-12,e742f5377c86427d86870d434f2f171f,0,7,Weekday,MI_DET,48213,312,-83,42.4,750
58467361,IL_CHI,V,2024-06-12,e742f5377c86427d86870d434f2f171f,0,7,Weekday,MI_DET,48213,312,-83,42.4,750
58467394,IL_CHI,V,2024-06-07,6b895778b53b4b63aefa8403a095717e,0,0,Weekday,IL_CHI,60714,13,-87.82,42.03,350
58467415,IL_CHI,V,2024-06-07,227cad1b862745638bce345c5813a550,0,3,Weekday,SC_COL,29209,819,-80.94,33.97,1500
58467418,IL_CHI,V,2024-06-07,07b6e1ad3bae4f51b1ef75a1bf70b882,0,0,Weekday,MN_MIN,56003,415,-94.05,44.19,825
58609255,IL_CHI,V,2024-06-19,923cbeec63c342f987826b4963d826c5,0,5,Weekday,NY_BRN,11735,883,-73.43,40.73,2600
58609310,IL_CHI,V,2024-06-20,923cbeec63c342f987826b4963d826c5,0,6,Weekday,NY_BRN,11735,883,-73.43,40.73,2400
58609333,IL_CHI,V,2024-06-14,94fb07fe17eb41ce86d8a25218750315,0,3,Weekday,IN_FTW,46938,203,-85.61,40.46,550
58609708,IL_CHI,V,2024-06-14,c735543f922244afaed42eb3271c1060,0,3,Weekday,TN_MEM,38301,497,-88.83,35.61,950
58609734,IL_CHI,V,2024-06-17,a1c985ca7d7446dcbe601c9815574f38,0,4,Weekday,MI_DET,48203,298,-83.1,42.42,900
58609749,IL_CHI,V,2024-06-14,c735543f922244afaed42eb3271c1060,0,3,Weekday,TN_MEM,38301,497,-88.83,35.61,1050
58609996,IL_CHI,V,2024-06-19,a1c985ca7d7446dcbe601c9815574f38,0,6,Weekday,MI_RAP,48917,235,-84.63,42.73,700
58610433,IL_CHI,V,2024-06-14,1efa84f4004640f38a0acf24547c21d7,0,0,Weekday,NC_CHA,28078,778,-80.86,35.41,1600
58619692,IL_CHI,V,2024-06-18,aba03d7305ae46a4a53b2beaabea4b08,0,7,Weekday,CA_LAX,93021,2047,-118.88,34.29,2400
58619693,IL_CHI,V,2024-06-18,aba03d7305ae46a4a53b2beaabea4b08,0,7,Weekday,CA_LAX,93021,2047,-118.88,34.29,2400
58619695,IL_CHI,V,2024-06-19,aba03d7305ae46a4a53b2beaabea4b08,1,6,Weekday,CA_LAX,93021,2047,-118.88,34.29,3600
58765394,IL_CHI,V,2024-06-26,a222729c910848a7b9f7139db18b2938,0,12,Weekday,MN_MIN,55317,427,-93.55,44.86,940
58765686,IL_CHI,V,2024-06-26,a1c985ca7d7446dcbe601c9815574f38,0,0,Weekday,MN_MIN,55121,415,-93.15,44.85,1350
58765706,IL_CHI,V,2024-06-27,87191035cf6741159409ab9ab7815a99,0,2,Weekday,FL_MIA,33122,1415,-80.3,25.8,2700
58765731,IL_CHI,V,2024-07-01,2c09899c337b43b085f457225e69bff6,0,6,Weekday,IL_JOL,60517,21,-88.04,41.75,300
58765802,IL_CHI,V,2024-06-26,7988a31fdeb044ba8125330a48808adc,0,1,Weekday,OH_CIN,45242,310,-84.36,39.24,800
58765839,IL_CHI,V,2024-07-01,c62bfae1ac274967bb52c4fd52b344aa,0,5,Weekday,NY_ROC,14522,671,-77.21,43.06,1650
58765974,IL_CHI,V,2024-06-26,c6a1c324012a4d4ba93d7b065265436b,0,1,Weekday,WI_MIL,53186,95,-88.2,43.02,400
58766005,IL_CHI,V,2024-06-26,7340c1e4490d4365bdbc6ee9d7676327,0,1,Weekday,IL_JOL,60446,33,-88.11,41.63,270
58766021,IL_CHI,V,2024-06-27,3078b01f8e984cb48cd9114d6dbd27c3,0,2,Weekday,MI_DET,48079,337,-82.52,42.85,825
58766256,IL_CHI,V,2024-06-27,721e06b478954bcbbef01efa11a30009,1,1,Weekday,WI_GRE,54901,156,-88.54,44.04,675
58766307,IL_CHI,V,2024-06-27,37e525688f37439ba4cc3ff5cf08161d,0,1,Weekday,TX_LAR,78045,1348,-99.51,27.68,1500
58778508,IL_CHI,V,2024-06-27,08013aaf38834c68b5db0764a0d50dd5,0,1,Weekday,IA_DES,50317,317,-93.55,41.62,900
58778644,IL_CHI,V,2024-06-27,b7e935c659164b869e48fbc8283d39d8,0,1,Weekday,WI_MIL,53075,131,-87.99,43.56,500
58778768,IL_CHI,V,2024-06-27,29e6830fdfc74686a2299f190703de0d,0,1,Weekday,AZ_PHO,85009,1832,-112.12,33.45,3000
58778776,IL_CHI,V,2024-06-27,14608fb0e29340528d409984403f2de7,0,1,Weekday,MO_STL,63113,291,-90.25,38.66,745
58779292,IL_CHI,V,2024-06-27,1725b1761ab74af7b28d846a956f81ab,0,11,Weekday,MO_STL,63080,366,-91.09,38.19,800
58921042,IL_CHI,V,2024-07-11,091e679863d44b2e9d50396421e31d86,0,2,Weekday,MI_DET,48051,349,-82.83,42.67,800
58921049,IL_CHI,V,2024-07-17,26534ba79c8c4579a60919a454b0983e,0,9,Weekday,CA_STK,95377,2112,-121.47,37.72,3065
58921639,IL_CHI,V,2024-07-12,296a6bd1b74e4c11b5029c1d89786e86,0,3,Weekday,KY_BOW,42101,411,-86.46,37.03,1050
58934052,IL_CHI,V,2024-07-11,08013aaf38834c68b5db0764a0d50dd5,0,1,Weekday,SD_SXF,51111,462,-96.38,42.41,1150
58934354,IL_CHI,V,2024-07-15,1a07c3ffa42f4c1897ef048a0b06962c,0,11,Weekday,IL_JOL,60433,31,-88.05,41.5,500
58934506,IL_CHI,V,2024-07-15,b53f69a4da6947b6b090fb9ff549b351,0,4,Weekday,CA_ONT,91730,1960,-117.58,34.1,2300
58934938,IL_CHI,V,2024-07-11,b7e935c659164b869e48fbc8283d39d8,0,5,Weekday,AZ_PHO,85283,1748,-111.93,33.37,2600
58935410,IL_CHI,V,2024-07-11,b7e935c659164b869e48fbc8283d39d8,0,1,Weekday,WI_MIL,53075,131,-87.99,43.56,475
58354663,IL_CHI,V,2024-05-29,3241b44ac4bc4868a43ee6f603088e3a,0,5,Weekday,IL_JOL,60491,28,-87.95,41.61,290
